Strike,Ticker,Bid,Ask,Last,IVM,Volm
1215,GOOGL 3/20/20 C1215,74.5,83.30000305,66,50.16532557,2
1220,GOOGL 3/20/20 C1220,71.69999695,79.5,72.5,51.02847418,3
1225,GOOGL 3/20/20 C1225,66.5,74.80000305,45,48.32436695,3
1230,GOOGL 3/20/20 C1230,63.90000153,71.69999695,64.69999695,49.54842991,26
1235,GOOGL 3/20/20 C1235,59.5,67.80000305,40.72999954,48.33954597,9
1240,GOOGL 3/20/20 C1240,56.5,65.09999847,47.20000076,48.75605468,21
1245,GOOGL 3/20/20 C1245,53.40000153,61.20000076,58,47.74691372,6
1250,GOOGL 3/20/20 C1250,51,58,54,48.4240798,45
1255,GOOGL 3/20/20 C1255,48.29999924,53.5,48.79999924,47.10970647,18
1260,GOOGL 3/20/20 C1260,45.29999924,50.09999847,30,46.62303451,11
1265,GOOGL 3/20/20 C1265,41.70000076,47.90000153,32.88000107,46.39015629,1
1270,GOOGL 3/20/20 C1270,39.29999924,44.5,34.90999985,46.39900534,34
1275,GOOGL 3/20/20 C1275,36.20000076,41.09999847,34.86999893,45.1473037,85
1280,GOOGL 3/20/20 C1280,33,38.20000076,28.53000069,44.37836345,20
1285,GOOGL 3/20/20 C1285,30.60000038,35.29999924,26.67000008,43.96303049,13
1290,GOOGL 3/20/20 C1290,28.10000038,33,30.70000076,43.71827357,25
1295,GOOGL 3/20/20 C1295,25.20000076,30.39999962,27,42.9206151,14
1300,GOOGL 3/20/20 C1300,22.5,27.89999962,25,42.16098589,417
1305,GOOGL 3/20/20 C1305,20.5,26,18.81999969,42.3535801,12
1310,GOOGL 3/20/20 C1310,18.60000038,23.39999962,11.35999966,41.46352403,24
1315,GOOGL 3/20/20 C1315,16.60000038,21.5,10.10000038,41.06799735,40
1320,GOOGL 3/20/20 C1320,14.5,19.39999962,15.69999981,40.32198419,58
1325,GOOGL 3/20/20 C1325,13,17.39999962,12.52999973,39.87707243,11
1330,GOOGL 3/20/20 C1330,11,15,10.60000038,38.62346585,33
1335,GOOGL 3/20/20 C1335,9.5,13.89999962,9.180000305,38.47030869,22
1340,GOOGL 3/20/20 C1340,8,12.30000019,9.5,37.97003018,26
1345,GOOGL 3/20/20 C1345,6.900000095,11.30000019,7,37.87953275,15
1350,GOOGL 3/20/20 C1350,5.199999809,9.800000191,7.300000191,36.66682211,163
1355,GOOGL 3/20/20 C1355,4.199999809,8.800000191,5.380000114,36.28474468,30
1360,GOOGL 3/20/20 C1360,3.5,7.800000191,4.800000191,36.0100565,6
1365,GOOGL 3/20/20 C1365,2.5,6.800000191,2.599999905,35.20920031,10
1370,GOOGL 3/20/20 C1370,1.5,5.099999905,3,33.03232333,38
1375,GOOGL 3/20/20 C1375,2.400000095,4,2.339999914,35.41187561,3
1380,GOOGL 3/20/20 C1380,1.200000048,4.5,2.5,34.31635815,37
1385,GOOGL 3/20/20 C1385,1.149999976,3.799999952,1,34.30237715,14
1390,GOOGL 3/20/20 C1390,0.9499999881,3.900000095,1.5,35.12628282,73
1395,GOOGL 3/20/20 C1395,0,3.299999952,0.009999999776,42.24106335,4
1400,GOOGL 3/20/20 C1400,0.8500000238,2.099999905,1.450000048,33.87158023,397
1405,GOOGL 3/20/20 C1405,0.349999994,3.5,1,36.68965639,1
1410,GOOGL 3/20/20 C1410,0.349999994,1.75,1,33.48257912,77
1415,GOOGL 3/20/20 C1415,0,2.75,1,43.98719925,1
1420,GOOGL 3/20/20 C1420,0.5,1.799999952,0.5,38.63358889,26
1425,GOOGL 3/20/20 C1425,0,2.200000048,1.590000033,43.51615688,2
1430,GOOGL 3/20/20 C1430,0.1000000015,0.8000000119,0.4499999881,35.43734335,17
1435,GOOGL 3/20/20 C1435,0,0.8999999762,0.75,37.20552221,17
1440,GOOGL 3/20/20 C1440,0.25,1.549999952,1.200000048,41.23815813,7
1445,GOOGL 3/20/20 C1445,0,1.399999976,1.429999948,43.84355735,1
